SourceArchive,InventoryNumber,Author,Recipient,DateRaw,DateYear,DateMonth,DateDay,URI,SourceRaw,SourceCity,SourceProvince,SourceCountry,SourceLatLon,DestinationRaw,DestinationCity,DestinationProvince,DestinationCountry,DestinationLatLon,data entered by,Free Text Comments,key words/ thoughts/ synopsis,number of pages
SUL,,"Aaroni, A.","Federbusch, Dr.","March 4, 1946",1946,3,4,,,,,,,,,,,,AF,"""Assigned by the U.S. Army in the Rothschild Library in Frankfurt, Germany)",,3
SUL,,SB,Jerry,"June 4, 1946",1946,6,4,,France,Paris,,France,,USA,,,,,AF,Jerry probably stands for Jerome Michael,,2
SUL,,"Scholem, G.",,Eve of Rosh Hashana 5707,1946,6,,,,,,,,,,,,,AF,"""Report of Prof. G. Scholem on his mission to Europe (in the summer of 1946) concerning the libraries of the Diaspora",,18
SUL,,"Echols, O.P.","Michael, Jerome",24 October 1946,1946,10,24,,"War Department, Civil Affairs Division, Washington 25, D.C.","Washington, D.C.","Washington, D.C.",USA,,"Commission on European Jewish Cultural Reconstruction, 1841 Broadway, New York 23 N.Y.",New York,NY,USA,,AF,,,1
SUL,,,"Michael, Jerome","December 28, 1946",1946,12,28,,,,,,,"Law School, Columbia University, New York 27, N.Y.",New York,NY,USA,,AF,probably written by SB,,2
SUL,,,"Kenen, I.L.",,,,,,,,,,,"American Jewish Conference, 521 Fifth Avenue, New York 17, N.Y.",New York,NY,USA,,AF,Letter is probably written by SB in December 1946 or January 1947,,6
SUL,,"Edelmann, Rafael","Magnes, J. L.","January 2nd, 1947",1947,1,2,,The Royal Library Copenhagen,Copenhagen,,Denmark,,"Hebrew University, Jerusalem",Jerusalem,,Israel,,AF,,,2
SUL,,"Edelmann, Rafael","Michael, Jerome","January 9, 1947",1947,1,9,,The Royal Library Copenhagen,Copenhagen,,Denmark,,"Commission of European Jewish Cultural Reconstruction, 1841 Broadway, New York, N.Y., USA.",New York,NY,USA,,AF,Edelmann is the keeper of the Jewish and Oriental departments at the Royal Library in Copenhagen,,2
SUL,,"Magnes, J. L. ","Edelmann, Rafael","January 22, 1947",1947,1,22,,,,,,,The Royal Library Copenhagen,Copenhagen,,Denmark,,AF,Destination is most likely the Office of the President of the Hebrew University in Jerusalem,,2
SUL,,,"Hilldring, J.H.","January 30, 1947",1947,1,30,,,,,,,"Assistant Secretary of State, Department of State, Washington, D.C.","Washington, D.C.","Washington, D.C.",USA,,AF,,,4
